ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2021-10-14,65,56688,576,Employed,Bachelor,44,35885,48,Married,1,Rent,,,5,1,0.2220565321689111,0,Home,0,27,22,3239,420,,14743,,0.7168395778731782,4,123698,0.242885,0.2061813647943534,1103.8467441697703,0.3445907587150234,0,69.0
2021-10-15,32,79688,518,Employed,Master,12,14493,60,Married,0,,495,,4,1,0.4816866731129107,0,Home,0,26,9,1238,1612,70403,17603,6640.666666666667,0.8178057957529704,5,52800,0.260493,0.2964740218910116,465.76376182001775,0.1446788116383923,0,79.0
2021-10-16,48,111859,602,Employed,Bachelor,26,32876,12,Married,1,Own,339,0.2633310334840875,4,3,0.368247471789135,0,Education,0,26,,,679,50318,23045,9321.583333333334,0.8389483826231887,2,27273,,0.1816015350058814,3016.5777960713453,0.3599793807637842,1,56.0
2021-10-17,43,92450,564,Employed,Associate,21,18287,36,Married,2,Rent,296,,2,1,0.1732197825674647,0,,,26,9,1270,2863,33739,15305,,0.8127803610541235,3,,0.2212869999999999,0.2235088274457445,701.7126837885386,0.1295029984365869,1,56.0
2021-10-18,55,44164,638,Unemployed,,32,34757,36,Single,1,Rent,385,0.230544196939356,0,1,0.2022298827853732,0,Home,0,25,,950,3047,41213,33345,3680.3333333333335,0.9319047203474594,4,7868,0.200757,,,0.4504082582748382,0,77.0
2021-10-19,58,,446,Employed,,37,32962,48,Single,4,Own,659,0.4963689042887022,3,1,0.2521017967963134,0,Debt Consolidation,,18,7,4164,3264,30207,32868,,0.8307189521544275,7,8005,0.304962,0.295821756319879,1178.8328165438666,0.6998157580290156,0,79.0
2021-10-20,40,38637,542,Employed,High School,15,30128,84,Single,,Mortgage,577,,2,0,0.3192450423989102,0,Education,0,18,23,1763,1532,272873,13395,3219.75,0.8404161741142282,5,,0.284128,0.2323701173357367,728.9627116958844,0.4056099733506901,0,74.0
2021-10-21,30,,643,Employed,Doctorate,8,27283,48,Married,1,Own,705,0.5485319592425667,,0,0.305027347073146,0,Education,0,28,12,4567,1329,12978,60121,2087.0,,7,10087,0.200783,0.2065237378295111,839.7441304769447,0.740174475551962,0,78.0
2021-10-22,45,60991,588,Employed,High School,24,17350,60,Married,,Mortgage,358,0.2177081623279125,1,0,0.495300001478702,0,,0,25,6,3238,662,64487,5648,5082.583333333333,0.7132988926177629,4,,0.22835,0.2487225931331105,507.9469424108744,,0,81.0
2021-10-23,31,27785,581,Employed,,8,31645,48,Divorced,0,,313,0.3452476542871718,4,0,0.3024554004481372,0,Auto,0,17,,3465,342,38678,53974,2315.4166666666665,0.8617089005328004,6,5273,0.236145,0.2396070824445357,1030.9978176656573,0.5804561386355187,0,80.0
2021-10-24,64,105043,646,Employed,Associate,38,9889,36,Single,3,,478,0.5106093313478662,2,,0.3849477381040485,0,Home,0,,22,34906,184,35090,20564,8753.583333333334,0.8971037045945375,10,14526,0.171889,0.1507066277340009,343.1477300280853,0.0938070386445267,1,57.6
2021-10-25,41,,589,Employed,Bachelor,18,78964,48,Married,3,,559,0.4112414553714533,4,3,0.3992737014647387,0,Education,0,23,,12578,1657,29633,29026,2490.5,0.8006230135498971,,8898,0.279464,0.310510506341882,,1.3855253435582584,0,82.0
2021-10-26,35,21169,619,Unemployed,Bachelor,,30400,36,,,Other,374,0.3723273052513695,3,,0.3130508656782482,0,Education,0,,26,1005,,66995,5377,1764.0833333333333,0.8696665953329172,,61618,0.2059,0.2186590003583705,,0.8689396016636117,0,80.0
2021-10-27,42,89901,551,Employed,,23,28885,24,Married,2,Rent,336,0.5317506825651387,5,1,0.2828319476238243,0,Education,,29,2,2098,2751,135919,31375,7491.75,0.9888090247317048,4,104544,0.2283849999999999,0.2245921763281542,1505.0589505181724,0.2457448460664294,0,77.0
2021-10-28,23,45660,409,Employed,Bachelor,,27892,36,,1,Mortgage,471,0.2649236867996815,5,0,0.1354109000838954,0,Other,,30,13,11277,1123,111939,159079,,0.8648386333671937,4,,0.308392,0.3417182566065453,1248.6845907414795,0.4519539003262758,0,80.0
2021-10-29,28,49804,530,Self-Employed,Bachelor,5,15186,24,,2,,197,,5,1,0.2453280780792938,0,Debt Consolidation,,30,1,7759,841,,106764,4150.333333333333,0.9405712644620932,4,1806,0.225186,0.1931320586450161,767.8181264327478,0.232467623427696,0,89.0
2021-10-30,54,,602,Unemployed,High School,32,16346,12,,2,Rent,187,0.3959136284871849,,1,0.2841666686282585,0,Debt Consolidation,0,31,,10607,421,83728,13125,7892.583333333333,0.564142098325667,5,70603,0.180346,0.2006567721472616,1514.7174843294745,0.2156096948818373,1,56.8
2021-10-31,32,88664,607,Employed,,13,24845,60,,0,Own,392,0.3348113952174895,3,,0.2986083779594949,0,Other,0,28,13,,1492,,213317,7388.666666666667,0.4751255378421368,,10686,0.226345,0.2106506108000649,673.0503340420955,0.1441464857045153,1,53.6
2021-11-01,27,26125,362,Employed,High School,6,17268,60,Married,3,Mortgage,580,0.1765411635633605,4,0,0.1895729140375489,0,Auto,0,26,,6250,783,24312,7816,2177.083333333333,0.8291433658691444,6,,0.341268,0.349275649221152,612.0460759032065,0.5475426951517121,0,72.0
2021-11-02,46,43258,572,Unemployed,,21,12179,36,,5,Rent,215,0.0940253671201424,2,,,0,Debt Consolidation,0,,20,6765,647,10167,10918,3604.8333333333335,,5,6254,,0.2193395782929036,464.705529289005,0.1885539403455559,0,88.0
2021-11-03,54,,572,Employed,,29,21158,12,Married,1,Own,410,0.3139581589247571,6,1,0.1787923940985973,0,Education,0,21,24,3385,1601,136564,32188,2653.333333333333,0.8281563748830001,,,0.200158,0.1815182988768365,1941.2944500402805,0.8861662500151809,0,68.0
2021-11-04,48,27794,625,Employed,Master,27,26247,12,Married,0,Mortgage,256,0.4674579739380379,,1,0.5519512755808216,0,Education,0,39,17,4521,392,82713,79908,2316.1666666666665,0.9298386614965328,6,2805,,0.16863403201579,2392.1500101655333,1.1433330978623588,0,84.0
2021-11-05,51,60954,597,Employed,High School,27,21893,60,Single,2,Rent,248,0.3192651079921507,9,0,0.1960672936800855,0,Debt Consolidation,,23,8,,1524,60433,,5079.5,0.8640890877752285,6,,0.228393,,587.4824416508794,,0,70.0
2021-11-06,30,55412,562,Employed,High School,10,37281,48,,0,,342,,3,0,0.4832927972089609,0,Home,1,23,2,27031,,27666,11726,4617.666666666667,,4,15940,0.251281,0.2417158873143372,1218.9682222840308,,0,93.0
2021-11-07,22,56051,567,Employed,High School,0,23901,48,Married,0,Mortgage,,0.3144092106844467,3,0,0.2142316096195261,0,Education,0,34,23,3399,199,28020,,4670.916666666667,0.888748647547788,6,26684,,0.2682250324619946,,0.3260551640879911,0,73.0
2021-11-08,58,104680,630,Employed,High School,35,48666,24,Married,1,Other,634,0.1450249207361025,2,0,0.5377683180362832,0,Home,0,24,,,455,113362,18638,8723.333333333334,0.8403485180156093,5,94724,0.208666,0.1669328,,0.3476871692094778,0,72.0
2021-11-09,36,78788,588,Employed,Bachelor,,69789,72,Married,2,Mortgage,,0.5664374837630755,3,0,0.5984592314649247,,Home,0,25,13,1071,,30345,34256,6565.666666666667,0.7719582525992299,4,10589,0.290789,0.3014052235152404,,0.3428243057088571,0,84.0
2021-11-10,36,96060,628,Employed,Doctorate,17,20611,36,Divorced,,Mortgage,137,0.107869209070298,2,0,0.3466385668122952,0,Auto,,21,4,3950,831,138315,20698,8005.0,0.7532566051264724,7,,0.191611,0.1532888,717.811031523732,0.1067846385413781,1,56.0
2021-11-11,55,15000,600,Employed,Associate,,12613,48,Divorced,0,Mortgage,608,0.4250115797005245,5,0,,0,Debt Consolidation,1,19,7,,340,22882,91682,1250.0,0.6348306983028116,,6982,,0.217307625502501,395.54483953008827,0.8028358716240706,0,82.0
2021-11-12,46,,551,Employed,Doctorate,24,12434,48,Single,,,1128,0.2542361832171081,1,0,0.5584850566167747,0,Auto,0,18,10,2361,526,35466,41372,4800.166666666667,0.9195410757334422,7,1887,0.231934,0.2459540467072181,409.4748523593459,0.3202961395144639,0,82.0
2021-11-13,45,66398,549,Unemployed,High School,21,21491,84,Married,0,Mortgage,324,0.3598225371667281,1,1,,0,Auto,0,34,20,1984,1066,25003,33160,5533.166666666667,0.946039441353554,6,7644,0.271991,,590.5056279612663,,0,79.0
2021-11-14,65,,642,Employed,,41,32894,72,Married,4,Mortgage,333,0.3775194974931416,2,0,0.3623296365001761,,Debt Consolidation,0,27,6,2655,13026,,16213,2459.9166666666665,0.8438558603693449,4,57075,,0.2006725141836446,789.1870786489574,0.4561890627659301,0,78.0
2021-11-15,32,44643,582,Employed,High School,9,18507,36,Divorced,1,Other,603,0.3749835760117639,7,0,0.1757373618542483,,Education,0,26,10,1110,1249,97382,5466,3720.25,0.6146352727773664,4,91916,0.212507,0.2220905736599478,708.7938506160434,0.3526090586966047,0,70.0
2021-11-16,51,83207,631,Employed,Master,30,22318,24,Married,1,Mortgage,,0.2050931341226916,0,1,,0,Home,0,28,13,1516,811,,79668,6933.916666666667,0.9506105483416644,1,15171,0.181818,0.1552476254247183,,0.2247932517423619,1,56.0
2021-11-17,40,,471,Employed,High School,16,16983,60,Widowed,3,Mortgage,625,,4,0,0.5196649372014499,0,Home,0,27,25,940,1821,25805,11188,5032.916666666667,0.8311386526411257,4,14617,0.286483,0.3029563630396544,552.545677319709,0.2339688405966802,0,80.0
2021-11-18,43,,634,Employed,,21,18795,36,Married,1,Mortgage,421,0.1450130470121217,4,0,0.1990283523529594,0,Education,1,,,3531,,59881,81174,,0.8477999202437307,3,,0.186795,0.1812121675949963,680.6277120040544,0.1790706493104947,1,57.6
2021-11-19,58,61760,448,Employed,High School,,23261,36,Single,0,Rent,,0.3235961973585892,3,1,0.1429560371873027,0,Auto,0,31,14,,261,100200,12069,5146.666666666667,0.9234698793865276,,,0.284261,0.2517338694302801,926.987730582196,0.2906711911752971,0,68.0
2021-11-20,46,56003,489,Employed,Associate,25,35876,84,Single,0,Mortgage,,0.3922282018142513,1,1,0.0342081538913353,0,Debt Consolidation,0,,20,4311,339,244650,5811,4666.916666666667,0.753317795600297,7,238839,0.316376,0.3764577248865182,1216.3009689464643,0.3409747982671923,0,66.0
2021-11-21,46,22042,610,Employed,Associate,26,35118,60,Widowed,0,Rent,437,,0,1,0.219114544479889,0,Home,1,28,27,861,1037,73744,29045,1836.8333333333333,0.578828195426151,6,44699,0.235118,,1062.60143459733,0.8164058259308574,0,81.0
2021-11-22,52,72594,638,Employed,Associate,31,7202,48,Single,3,Mortgage,232,,3,,0.1271535875668036,0,,0,,26,2471,,31091,13839,6049.5,0.8044609295754858,5,17252,0.183202,,208.2194451388684,0.0727695586641653,1,51.2
2021-11-23,35,54204,521,Employed,Bachelor,10,30934,60,Married,1,Own,805,0.5228503364081596,7,0,0.2483466719736513,0,Auto,0,22,20,3531,449,106202,17980,4517.0,0.8880439210407701,8,88222,0.275434,0.2203472,854.9741944147028,0.367494840472593,0,73.0
2021-11-24,29,,431,Unemployed,Doctorate,6,30457,36,Married,0,Mortgage,620,0.63085508404578,2,1,0.349066366660164,0,,0,19,2,5806,4929,62281,37287,1830.25,0.8291663376284761,7,,0.299957,0.2725368070789417,1247.5623673321577,1.020386486727036,0,98.0
2021-11-25,27,99787,561,Employed,Bachelor,6,21079,60,Single,0,Mortgage,304,0.4527245808082084,,0,0.3617902699330576,0,Debt Consolidation,1,,26,3250,3173,,5652,8315.583333333334,0.6222167043199168,3,15482,0.245579,,,0.1104045622764663,1,67.2
2021-11-26,18,52076,596,Employed,Bachelor,,18609,24,Married,1,Rent,360,0.5627868546499136,3,0,0.456573038287006,0,Home,0,24,24,,1042,48743,3090,4339.666666666667,0.5633098885526,6,45653,0.195609,0.1964423037424725,943.8888860239896,0.3004583038691119,0,81.0
2021-11-27,64,19366,577,Employed,High School,43,29808,60,Divorced,0,Mortgage,390,,5,0,0.3513788062995832,0,Home,0,25,15,12530,3190,100090,17302,1613.8333333333333,0.9292016705815652,,82788,0.246308,0.2398096152557819,857.1861588740633,0.7728097648708437,0,78.0
2021-11-28,26,28561,590,Unemployed,Bachelor,3,23525,84,Widowed,4,Own,339,0.1188115847381147,3,1,0.59826453097309,0,Auto,0,22,,1494,1933,23469,5276,2380.083333333333,0.6391089410392828,5,18193,0.253525,0.2737141877344602,631.5821329695623,0.4077933404164681,0,98.0
2021-11-29,37,29895,447,Employed,Associate,15,19644,60,Widowed,,Other,204,0.360762612878902,3,1,0.5163879499658707,0,Home,0,25,27,5819,1398,25353,9679,,0.5464861319335017,,15674,0.301144,0.3262871224503785,667.6296638234018,0.3498764330450182,0,86.0
2021-11-30,36,73739,589,Employed,Master,12,65236,36,Married,2,Mortgage,445,0.3028139891952098,,0,0.1337684417720256,0,Debt Consolidation,0,19,10,2894,12276,128167,15696,3320.5,0.9446770729538024,4,112471,0.2557359999999999,0.2284900910649827,,0.8929788876857623,0,66.0
2021-12-01,43,,528,Employed,Associate,24,28437,60,Divorced,0,Mortgage,195,0.3351317987020427,4,1,,0,Debt Consolidation,0,23,9,13071,,24465,,4628.5,0.7837207839888187,4,10418,0.269437,,924.3355587263168,0.2418354885440891,0,72.0
2021-12-02,49,26973,451,Employed,Bachelor,28,16886,36,Married,0,Own,658,,2,2,0.1522662749691932,,,0,33,14,6379,1308,128438,13875,2247.75,0.8149482389552511,4,114563,0.276386,0.2816469123723134,699.968835071907,0.6041458503267298,0,86.0
2021-12-03,50,89792,522,Employed,High School,31,31992,36,Divorced,0,Rent,758,0.3038730832440013,4,0,0.127646714597099,0,Home,,22,10,1569,2045,,50832,,0.9009647313400636,,2474,0.255992,0.2879498874485365,1337.082238521392,0.2799913896812266,0,68.0
2021-12-04,33,91308,591,Employed,High School,11,27417,12,Married,,Other,401,0.2169295781455381,2,0,0.3827204669614542,0,Debt Consolidation,0,,7,,2872,13445,19797,7609.0,0.7875291739610825,6,6135,0.196917,0.1784409789319142,2511.556584362972,,0,76.0
2021-12-05,37,64255,572,Employed,Associate,12,26637,36,Single,4,Rent,382,0.1489161054473829,3,0,0.2741279107627649,0,Education,1,18,8,,1722,14459,,5354.583333333333,,9,2163,0.225637,0.210945940566948,1004.8449444826113,0.259001468115965,0,81.0
2021-12-06,43,53278,624,Employed,Associate,22,34015,84,Married,0,Mortgage,193,0.1990353002930255,2,4,,0,Debt Consolidation,0,21,18,3081,453,49220,20524,,0.8093959876998446,6,28696,,0.2073825712816083,770.5368154423046,0.2170209427025724,0,73.0
2021-12-07,37,75179,574,Employed,High School,16,17391,36,Widowed,2,Mortgage,341,0.043984177878825,5,0,0.3484243505108312,0,Home,,25,27,1877,3141,,7108,6264.916666666667,,3,154030,,0.2584692,699.2767996526972,0.1660479867493896,1,56.0
2021-12-08,59,35707,552,Employed,High School,35,25130,60,Married,0,,,0.4417838928797622,3,3,,0,Auto,0,25,16,4723,854,21070,44422,2975.583333333333,0.9649996459505966,3,3844,0.2541299999999999,0.2561740234940223,746.7224846258276,0.3148029746411048,0,74.0
2021-12-09,45,41995,543,Employed,Master,20,14425,60,Married,2,Mortgage,542,0.7220957980626506,1,0,0.6149587589423391,0,Other,0,25,12,758,112,72214,21670,3499.583333333333,0.8334902802928862,3,,0.247925,0.2599784458656561,431.872862425546,0.2782825181356483,0,86.0
2021-12-10,48,91133,584,Employed,High School,26,32943,36,Married,3,Own,280,0.2150886904908978,7,0,0.5548408059641052,0,Auto,0,,22,20171,3025,257908,16559,,0.903162038401946,4,241349,0.225943,0.2079985278327064,,0.199850371278248,1,60.8
2021-12-11,47,61049,579,Employed,Master,23,22218,72,Divorced,0,Mortgage,363,,5,1,0.6643462156897979,0,Debt Consolidation,0,35,10,2680,493,18306,30360,5087.416666666667,0.8502637851447606,5,9978,0.247718,0.261855305272384,614.7539420101803,0.1921906551151069,0,80.0
2021-12-12,54,30627,620,Employed,High School,34,14682,48,,0,Mortgage,244,0.0555199417766486,5,0,0.2097408097723403,0,Education,0,,8,1040,4243,113524,1027,2552.25,0.6390421128770526,,112497,,0.212235583556988,456.4056083430736,0.2744267247891365,0,67.0
2021-12-13,42,32387,572,Employed,High School,,21489,72,Single,0,Other,,0.1113168913837139,,0,,0,Debt Consolidation,0,,27,929,2731,12698,130054,2698.9166666666665,0.9007528911036884,5,4685,0.250489,0.2387854320532064,564.1539165853304,0.3894725352463632,0,76.0
2021-12-14,24,30113,544,Employed,,0,24767,12,Single,1,,414,0.4952952115131538,2,1,0.0727387699455353,0,Home,0,24,17,3371,340,15622,43933,2509.4166666666665,0.9743668145966328,3,,0.217767,0.235023861519433,2335.9973254741512,1.0958711488622792,0,74.0
2021-12-15,44,163970,630,Self-Employed,Bachelor,20,34590,24,Widowed,1,Mortgage,160,0.3411632319615132,0,1,0.1080208674799628,,Other,0,36,28,,582,14669,86309,13664.166666666666,0.3463289399594229,1,10664,0.19459,,1776.0532291930194,0.1416883500049779,1,54.400000000000006
2021-12-16,32,57614,494,Employed,Associate,,40552,48,Single,0,Mortgage,119,0.1611121815634333,1,0,0.5182355554731797,,Home,0,24,28,5437,1692,161677,,4801.166666666667,0.7264597799043527,3,156388,0.288552,0.2768866963348428,,0.3176539382080308,0,76.0
2021-12-17,33,48625,614,Employed,Bachelor,12,35131,48,,0,Mortgage,344,0.4627725474580558,3,1,0.4931873275120254,0,Education,0,20,21,4136,962,,,,0.7983658260101983,7,17148,0.223131,0.2296267390369037,1125.281924245481,0.3625991381171367,0,79.0
2021-12-18,47,73067,573,Employed,High School,23,28837,48,Married,2,Mortgage,469,0.4826466965547531,5,,0.39227314026633,0,Auto,,27,15,5924,866,82399,22413,6088.916666666667,0.914274307361592,1,59986,0.237337,,905.8548700949656,0.2257963025872087,0,76.0
2021-12-19,54,22266,582,Employed,Bachelor,32,31885,72,Single,5,Mortgage,382,0.0818029521514528,3,,0.4503882627323368,0,Other,0,19,27,858,1979,,49675,1855.5,0.6533833595771292,4,,0.255885,0.2978901974798716,954.9010299852238,0.7205071570925485,0,81.0
2021-12-20,40,95565,557,Employed,Bachelor,15,19306,96,Married,4,Mortgage,486,0.1637185311518348,2,1,0.3335338856960722,0,Debt Consolidation,0,20,27,6685,,117718,98508,7963.75,0.7975311830576343,5,,0.275806,0.2433884458255796,458.242736013099,,1,57.6
2021-12-21,43,34221,602,Employed,Associate,19,12761,36,Married,3,Rent,905,0.2116141378363389,4,2,0.5137834083079659,,Debt Consolidation,0,27,,11500,368,46454,,2851.75,0.7457083137950813,10,12899,0.196761,0.2188078835602772,486.5617312329549,,0,86.0
2021-12-22,60,,626,Employed,Master,39,15793,84,,0,,347,0.1199417276551652,5,1,0.1538498761600713,0,,0,22,6,5455,904,45638,4018,,0.9799844386640032,5,41620,0.227793,0.251044973522619,400.8024441521966,0.051360057977486,1,51.2
2021-12-23,42,49432,614,Employed,,19,22565,36,Widowed,0,Rent,778,0.2254992661651222,6,1,0.837617945720905,0,,0,,21,5091,453,,12382,4119.333333333333,0.7479639293236396,9,53617,0.200565,0.179925440990351,815.6944090919491,0.3868816335390717,0,78.0
2021-12-24,71,116528,639,Employed,Associate,,19898,24,Widowed,2,Other,307,0.2892061776092208,2,1,0.1693090626121853,0,Debt Consolidation,0,,17,711,912,28394,9393,9710.666666666666,0.8985820898533335,4,19001,0.175398,0.1947117945344995,1007.5916756551112,0.1353760478842967,1,51.2
2021-12-25,46,15000,552,Self-Employed,,24,19485,60,Single,,Other,,0.6411525173714911,7,1,0.3888827537156293,0,Education,0,,28,,1456,25736,,1250.0,0.9719004198596116,6,21598,,0.2325456463859452,552.1448961175261,0.7073159168940208,0,90.0
2021-12-26,18,24313,610,Employed,Master,0,25231,60,Widowed,1,Own,333,0.2162888247428169,5,0,0.3743290931869455,0,,1,31,4,12914,659,24269,34153,2026.0833333333333,0.6925524585933411,6,10924,0.225231,0.2545595316092414,747.3228657513071,0.5332075181596547,0,90.0
2021-12-27,49,42621,614,Employed,Bachelor,24,36167,36,Divorced,,Rent,244,0.3763170187966357,,,0.3357861924856186,0,Other,0,22,12,611,,99888,25297,3551.75,,3,74591,0.214167,0.2235994579979207,1387.977900617683,0.4594855777061119,0,72.0
2021-12-28,44,15000,594,Employed,High School,17,25368,36,Divorced,1,Rent,622,0.1732429566507035,3,1,0.2892856184935593,0,Home,0,24,29,3416,1051,,9173,1250.0,0.6433774124429841,,68489,,0.211115470539015,957.194612812577,1.2633556902500616,0,73.0
2021-12-29,55,100679,540,Unemployed,Master,35,17288,24,Married,0,Rent,654,0.0856296556583686,3,2,0.2070097400618052,0,Debt Consolidation,0,20,26,2535,2315,80572,6602,8389.916666666666,0.8901413970510094,4,73970,0.2222879999999999,0.2388526680918028,913.0458434453188,0.1867772834587533,1,58.400000000000006
2021-12-30,48,58634,601,Employed,High School,29,11999,48,Married,,Own,142,0.3847132212292859,2,1,0.1213731942286008,0,Home,0,28,10,,2400,97935,,4886.166666666667,0.798863638956557,2,38709,0.206499,0.1958134593282804,362.4628174190176,0.1032430639053827,1,52.8
2021-12-31,38,,605,Employed,High School,,20376,48,,1,Own,252,0.1483320154631057,,2,0.1046545088959399,,Debt Consolidation,0,23,,3349,827,509016,60334,2055.6666666666665,0.8188748426507171,10,448682,0.212876,,610.7683883144764,0.4197024752624338,0,62.0
2022-01-01,25,,574,Employed,Associate,6,7926,36,Single,,,756,0.2098704017506076,1,1,0.5186465296941176,0,Other,0,31,21,,5502,32266,53562,2978.6666666666665,0.897499539111268,,5065,0.205926,0.236365565482159,309.4490994251845,0.3576932965841041,0,84.0
2022-01-02,37,92421,588,Employed,Bachelor,14,37986,36,Single,3,,322,,1,,0.1236006070990837,0,Home,0,32,16,1893,,,,,0.93436106929792,4,15011,0.228986,0.2118804630308158,1434.7952810085517,0.2281033896203527,1,52.8
2022-01-03,29,15000,567,Employed,Master,5,23122,12,Married,3,Other,442,0.0546433505871491,3,,0.2800204836462344,0,Auto,0,24,14,4076,602,178542,24596,1250.0,0.7943047224292126,4,153946,0.204622,,2176.3845101003158,2.0947076080802525,0,71.0
2022-01-04,33,24167,545,Employed,Bachelor,8,53369,60,,,Mortgage,324,0.0774961196294481,3,1,,0,Other,0,22,,1122,1060,179100,,2013.9166666666667,0.986627684832882,7,160293,0.285869,0.2355774637269095,1521.6483488528156,0.916447229123755,0,68.0
2022-01-05,47,55427,570,Employed,Doctorate,24,43014,48,Single,2,,236,0.1024952274025486,0,1,,0,,0,23,,1835,3506,41253,33441,4618.916666666667,0.839702438622103,5,7812,0.253014,0.2656330079815027,1463.981098529248,0.3680475793810052,0,78.0
2022-01-06,60,55966,663,Employed,High School,38,29009,36,Married,0,Mortgage,392,0.1783249465697659,3,1,0.0922824862135829,0,Debt Consolidation,0,22,21,4246,1221,16254,2584,4663.833333333333,0.8627449691752836,4,13670,0.182509,0.187967131526806,1060.375266771718,0.3114123432309011,0,60.0
2022-01-07,44,39233,626,Employed,High School,25,17150,48,Married,,,168,0.2526723104249134,4,0,,0,Home,0,27,13,723,874,18871,27462,3269.4166666666665,0.6132872342502222,3,1021,0.19915,0.1998674880095064,521.7596399789768,0.2109733051193567,0,68.0
2022-01-08,25,68812,600,Employed,Bachelor,2,18301,84,Married,1,Rent,314,0.5081707554113133,3,1,0.2509750100420315,0,,0,15,8,1447,612,101744,126320,5734.333333333333,0.8021347044799457,4,7819,0.243301,0.2556761783848313,469.8906844854888,0.1367012761411652,0,73.0
2022-01-09,45,101159,654,Self-Employed,Doctorate,22,48011,36,Single,1,Mortgage,647,0.1914221671004187,3,0,0.0467885797601184,0,Debt Consolidation,0,25,11,5647,893,39021,11343,8429.916666666666,0.6796978322802645,,27678,0.206011,0.2100756024058254,1809.0040282719071,0.2913438086503711,0,64.0
2022-01-10,54,72974,584,Employed,Bachelor,30,28030,60,Divorced,3,Mortgage,381,0.0402937634366475,6,0,0.2399178692670821,0,Education,,19,18,1558,966,75086,7591,6081.166666666667,0.9370547810700164,10,67495,0.24103,0.2654825731836477,848.3532374664528,0.2021574649820132,0,69.0
2022-01-11,32,15586,571,Employed,High School,11,11420,96,,,Mortgage,295,0.465887358008912,4,2,0.2783472013856738,0,Debt Consolidation,1,20,21,2259,388,119322,20552,1298.8333333333333,0.9422988952338684,6,98770,,0.2226191185188718,255.63683105568853,,0,85.0
2022-01-12,38,,607,Employed,High School,16,18646,48,Married,4,Rent,255,0.1822660611196216,5,,,0,Debt Consolidation,1,26,22,3371,,53476,30435,3845.6666666666665,0.867024714650341,,23041,0.210146,,607.3687727067677,0.2242442851798824,0,83.0
2022-01-13,40,36407,549,Employed,High School,20,44603,96,Married,,Rent,494,0.1596825397966997,,,0.1629055717268367,0,,0,25,20,1239,2209,23213,5952,,0.9105546697183018,3,,,0.2981004288484665,1224.096154857171,0.5662964226188936,0,70.0
2022-01-14,30,101759,547,Employed,Associate,12,38222,12,Single,2,Mortgage,722,0.5103848330810071,4,0,,0,,,24,17,,6166,262790,80360,8479.916666666666,,3,182430,0.229722,0.2314130574126439,3598.3922276370545,0.5094852222569468,0,69.0
2022-01-15,47,54362,554,Employed,High School,27,27005,24,Single,1,,565,0.201258867164619,6,1,0.4785984832169209,0,,1,26,13,4141,1564,47379,8646,4530.166666666667,,,38733,0.2250049999999999,0.2234673021053274,1405.5978040420662,0.4349945485542252,0,87.0
2022-01-16,38,40996,600,Employed,Master,19,43562,48,Married,4,Rent,399,0.1260357131127432,4,1,0.2755271832230557,0,Home,0,17,3,4067,474,53875,,3416.333333333333,,5,39486,0.238562,,1374.6165929284375,0.5191579450468644,0,75.0
2022-01-17,45,88508,458,Employed,Bachelor,22,11832,48,,1,Mortgage,393,0.4532969993323544,,3,,,Debt Consolidation,,25,15,8341,513,732163,5132,7375.666666666667,0.840353145857232,6,727031,0.277832,0.3288196667622266,446.0822412047741,0.1137635795008054,1,52.0
2022-01-18,29,64218,559,Employed,Bachelor,8,16373,120,Divorced,2,Mortgage,347,0.4805354665457256,1,0,0.2208784648347636,0,Home,0,26,15,6737,739,49968,,5351.5,0.7180459252194794,9,34307,0.291873,0.2801149355332115,407.7719896804516,0.1410393328376065,0,75.0
2022-01-19,34,25009,458,Employed,High School,13,20860,24,Married,3,Own,163,0.4888317300038622,3,1,0.2896280025371681,0,Auto,0,22,23,1567,1763,6601,28239,2084.083333333333,0.8810770347461032,,7383,0.26686,0.2636781595178031,1127.6968959423098,0.6193115578914677,0,79.0
2022-01-20,48,35557,582,Employed,High School,27,17140,120,Divorced,1,Mortgage,289,0.2832053432692167,4,0,0.2301031105099758,1,Education,0,21,15,18900,,239438,,,0.697115038250442,6,232372,0.28114,0.2613052864668668,403.66557719288727,,0,87.0
2022-01-21,35,34694,486,Employed,Bachelor,17,32043,84,,,,266,0.407552312812528,3,0,0.1023809575201079,0,Home,,32,21,,1352,53747,,2891.1666666666665,0.7387394917569063,1,45959,0.314043,0.3323167794577777,986.845595550446,0.4333356530410259,0,74.0
2022-01-22,60,136101,534,Employed,Master,34,32876,36,Married,3,Other,287,0.3964944747090195,5,2,0.5932409647519811,0,Debt Consolidation,0,22,15,10073,,23761,14612,,0.8889110774252902,6,9149,0.250876,0.217321263701495,1250.997991704758,0.1356049984971241,1,62.400000000000006
